Date,Time,ConversationID,ScrubbedUtterance,Intent,IntentConfidence,Bot Response,UserFeedback Sentiment,UserFeedbackComments
17-Jun,18:44,ad1657b5-2836-43d3-8374-762935d20610,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,1,
18-Jun,0:27,e3ead08b-38cd-4770-9747-d79b80c9c081,Post tax 401k contribution,Get_Tax_Information,100%,Looks like you're interested in learning more about taxes.,-1,401k post tax contribution is a unique benefit we offer
18-Jun,0:26,e3ead08b-38cd-4770-9747-d79b80c9c081,401k Roth conversion,Get_Plan_Info,88%,All 401k elections and changes must be made within Fidelity to be reflected in Workday.  Workday will match 50%  up to 6% of eligible compensation  up to the IRS maximum. The match will be funded on a per pay period basis and you will typically see the match in your account by the Monday after you receive your paycheck. To be eligible to receive the match  you need to actively contribute to Workdayâ€™s 401(k) plan. To maximize your match  make sure you contribute at least 6% of your eligible compensation (pre-tax or Roth) at any time during the year and you will receive the maximum match of 3%. For additional information  visit the 401(k) Match Enhancement Workspace page https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000004uAAA/page/a7t80000000D17xAAC|here,-1,401K to Roth conversion and post tax 401k contribution is a special benefit we offer. The answer didnâ€™t provide that
18-Jun,4:56,b2e2f71e-71cd-4f1f-a7df-6704fa2b2a94,how many days off can i take for a death in the family,Request_Leave_of_Absence,99%,Workday recognizes there may be times when you need to take a leave of absence to attend to a medical condition  bond with a new child  take care of an ill or injured family member  or take time off for other circumstances.   You can find additional information about the different types of leaves available to you at https://workdayinc.benefitstream.net/leave-absence-5|BenefitStream.net.  Username: workday Password: welcome2benefits You may also plan a leave of absence  learn more about leaves and your benefits related to leaves  and file a leave claim by visiting LeaveLogic at https://workday.leavelogic.com|Workday LeaveLogic. If would like to speak to someone about a leave of absence you can contact Unum  Workday's leave of absence administrator  at 1.866.865.9092 or 1.207.575.0680.,0,A few days off is different than a LOA. Would be nice if Wex knew the difference.
18-Jun,4:29,b94c8f34-433b-4ef4-9c1d-8384fdef5107,what do you do for fun,ChatBot_Hobbies,100%,I love being part of the Workday community and helping make this a special and inclusive place to work.,1,Great response!
18-Jun,20:17,0c1974a5-3cea-4d44-9b41-1e7e4a5003ab,legal,Get_Plan_Info,42%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,0,After typing legal  Wex returned information around 401k.  I would expect the MetLife insurance information would be returned.
18-Jun,21:40,15ec1b83-bcc5-4705-8670-5fa50ae8b007,funny,ChatBot_Jokes,48%,What do you call a large dog that meditates? Aware wolf.,1,His jokes are cute!
18-Jun,19:38,9fe74422-a7fe-4792-98af-f15d50a6c7f1,Tell me a joke,ChatBot_Jokes,100%,Did you hear about the dog who had puppies on the sidewalk? She was ticketed for littering.,1,:)
18-Jun,5:04,05520a70-f36a-4530-973f-63f81754c928,who would win Batman or Superman,ChatBot_Jokes,36%,What do you call a dog with a Rolex? A watch dog.,-1,Answered my random non-benefits question with a joke
19-Jun,18:57,cdbc0d99-2149-4c2b-9065-19d54c7b3d4e,do we have off july 3gt,ChatBot_Goodbyes,48%,Thanks! Have a great Workday!,-1,Asked Wex Do we have off on July 3 - responded with Thanks! Have a great day! Thank you for the feedback.
